index,time,source,destination,protocol,length,description
1,0.000000,86.50.8.240,128.214.173.27,DNS,81,Standard query 0x6a3c A www.tommitenkanen.net
2,0.026588,86.50.8.240,128.214.173.29,DNS,81,Standard query 0x6a3c A www.tommitenkanen.net
3,0.043968,128.214.173.27,86.50.8.240,DNS,111,Standard query response 0x6a3c A www.tommitenkanen.net CNAME tommitenkanen.net A 188.117.28.99
4,0.051278,86.50.8.240,128.214.173.27,DNS,77,Standard query 0xbfaf A tommitenkanen.net
5,0.051940,86.50.8.240,188.117.28.99,TCP,66,52855 → 80 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1
6,0.058833,188.117.28.99,86.50.8.240,TCP,66,80 → 52855 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=128
7,0.058999,86.50.8.240,188.117.28.99,TCP,54,52855 → 80 [ACK] Seq=1 Ack=1 Win=17408 Len=0
8,0.063972,128.214.173.27,86.50.8.240,DNS,93,Standard query response 0xbfaf A tommitenkanen.net A 188.117.28.99
9,0.065256,86.50.8.240,128.214.173.27,DNS,77,Standard query 0xb222 AAAA tommitenkanen.net
10,0.067588,86.50.8.240,34.252.84.252,TCP,66,52856 → 80 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1
11,0.071609,128.214.173.29,86.50.8.240,DNS,111,Standard query response 0x6a3c A www.tommitenkanen.net CNAME tommitenkanen.net A 188.117.28.99
12,0.073822,128.214.173.27,86.50.8.240,DNS,136,Standard query response 0xb222 AAAA tommitenkanen.net SOA ns1.webhotelli.fi
13,0.113875,34.252.84.252,86.50.8.240,TCP,66,80 → 52856 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1460 SACK_PERM=1 WS=1024
14,0.114020,86.50.8.240,34.252.84.252,TCP,54,52856 → 80 [ACK] Seq=1 Ack=1 Win=17408 Len=0
15,0.114272,86.50.8.240,34.252.84.252,HTTP,213,GET /V3/01/99.28.117.188.ip/ HTTP/1.1 
16,0.159849,86.50.8.240,34.252.84.252,TCP,66,52857 → 80 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1
