kunta,ehdokkaita,ikävuodet yht,keski-ikä,naisia,naisia kaikista
Akaa,134,6381,47.61940299,50,0.373134328
Alajärvi,98,4970,50.71428571,26,0.265306122
Alavieska,29,1450,50,12,0.413793103
Alavus,131,6714,51.2519084,46,0.351145038
Asikkala,94,5084,54.08510638,35,0.372340426
Askola,58,2721,46.9137931,27,0.465517241
Aura,45,2248,49.95555556,19,0.422222222
Enonkoski,36,1932,53.66666667,11,0.305555556
Enontekiö,39,1923,49.30769231,18,0.461538462
Espoo,732,35079,47.92213115,320,0.43715847
Eura,125,6096,48.768,40,0.32
Eurajoki,138,6452,46.75362319,59,0.427536232
Evijärvi,39,1782,45.69230769,15,0.384615385
Forssa,175,8616,49.23428571,72,0.411428571
Haapajärvi,43,2439,56.72093023,8,0.186046512
Haapavesi,70,3595,51.35714286,23,0.328571429
Hailuoto,36,1894,52.61111111,12,0.333333333
Halsua,28,1151,41.10714286,10,0.357142857
Hamina,136,7184,52.82352941,46,0.338235294
Hankasalmi,58,2914,50.24137931,25,0.431034483
Hanko,101,5332,52.79207921,33,0.326732673
Harjavalta,86,4514,52.48837209,34,0.395348837
Hartola,49,2716,55.42857143,21,0.428571429
Hattula,87,4399,50.56321839,28,0.32183908
Hausjärvi,82,3970,48.41463415,35,0.426829268
Heinola,177,9346,52.80225989,68,0.384180791
Heinävesi,51,2724,53.41176471,21,0.411764706
Helsinki,1084,49465,45.63191882,504,0.464944649
Hirvensalmi,34,1896,55.76470588,12,0.352941176
Hollola,131,6493,49.5648855,48,0.366412214
Honkajoki,40,1983,49.575,13,0.325
Huittinen,126,6239,49.51587302,48,0.380952381
Humppila,44,2104,47.81818182,14,0.318181818
Hyrynsalmi,32,1743,54.46875,12,0.375
Hyvinkää,279,13794,49.44086022,126,0.451612903
Hämeenkyrö,93,4515,48.5483871,36,0.387096774
Hämeenlinna,331,16690,50.42296073,132,0.398791541
Ii,91,4754,52.24175824,32,0.351648352
Iisalmi,136,7115,52.31617647,55,0.404411765
Iitti,69,3637,52.71014493,30,0.434782609
Ikaalinen,99,4946,49.95959596,35,0.353535354
Ilmajoki,98,5286,53.93877551,29,0.295918367
Ilomantsi,55,3008,54.69090909,18,0.327272727
Imatra,161,7919,49.1863354,65,0.403726708
Inari,66,3338,50.57575758,25,0.378787879
Inkoo,74,3810,51.48648649,34,0.459459459
Isojoki,36,1758,48.83333333,11,0.305555556
Isokyrö,84,4102,48.83333333,36,0.428571429
Janakkala,151,7352,48.68874172,66,0.437086093
Joensuu,439,20753,47.27334852,171,0.38952164
Jokioinen,86,4230,49.18604651,40,0.465116279
Joroinen,63,3251,51.6031746,27,0.428571429
Joutsa,63,3425,54.36507937,20,0.317460317
Juuka,70,3633,51.9,25,0.357142857
Juupajoki,47,2221,47.25531915,18,0.382978723
Juva,65,3573,54.96923077,21,0.323076923
Jyväskylä,581,26996,46.46471601,218,0.375215146
Jämijärvi,37,1902,51.40540541,11,0.297297297
Jämsä,168,8875,52.82738095,64,0.380952381
Järvenpää,302,14741,48.81125828,121,0.400662252
Kaarina,227,11210,49.38325991,99,0.436123348
Kaavi,31,1734,55.93548387,12,0.387096774
Kajaani,213,10445,49.03755869,75,0.352112676
Kalajoki,113,5443,48.16814159,51,0.451327434
Kangasala,203,9894,48.73891626,78,0.384236453
Kangasniemi,66,3291,49.86363636,28,0.424242424
Kankaanpää,152,7591,49.94078947,63,0.414473684
Kannonkoski,26,1296,49.84615385,11,0.423076923
Kannus,45,2214,49.2,13,0.288888889
Karijoki,34,1480,43.52941176,11,0.323529412
Karkkila,80,4004,50.05,32,0.4
Karstula,63,3153,50.04761905,24,0.380952381
Karvia,55,2592,47.12727273,18,0.327272727
Kaskinen,51,2758,54.07843137,18,0.352941176
Kauhajoki,141,6985,49.53900709,48,0.340425532
Kauhava,157,7566,48.1910828,66,0.420382166
Kauniainen,106,5340,50.37735849,45,0.424528302
Kaustinen,73,3302,45.23287671,22,0.301369863
Keitele,43,2173,50.53488372,17,0.395348837
Kemi,168,8592,51.14285714,79,0.470238095
Kemijärvi,90,5173,57.47777778,29,0.322222222
Keminmaa,95,4720,49.68421053,41,0.431578947
Kemiönsaari,94,4630,49.25531915,32,0.340425532
Kempele,103,5238,50.85436893,44,0.427184466
Kerava,223,11341,50.85650224,100,0.448430493
Keuruu,85,4437,52.2,28,0.329411765
Kihniö,48,2288,47.66666667,24,0.5
Kinnula,43,2265,52.6744186,17,0.395348837
Kirkkonummi,216,11032,51.07407407,84,0.388888889
Kitee,126,6470,51.34920635,37,0.293650794
Kittilä,82,4138,50.46341463,31,0.37804878
Kiuruvesi,103,5093,49.44660194,40,0.388349515
Kivijärvi,26,1496,57.53846154,9,0.346153846
Kokemäki,99,5167,52.19191919,40,0.404040404
Kokkola,291,14588,50.13058419,118,0.405498282
Kolari,69,3486,50.52173913,28,0.405797101
Konnevesi,44,2230,50.68181818,17,0.386363636
Kontiolahti,140,6851,48.93571429,56,0.4
Korsnäs,32,1484,46.375,15,0.46875
Koski Tl,40,2016,50.4,16,0.4
Kotka,323,16266,50.35913313,131,0.405572755
Kouvola,345,17100,49.56521739,133,0.385507246
Kristiinankaupunki,54,2750,50.92592593,23,0.425925926
Kruunupyy,67,3223,48.10447761,27,0.402985075
Kuhmo,90,4764,52.93333333,38,0.422222222
Kuhmoinen,40,2118,52.95,19,0.475
Kuopio,451,22210,49.24611973,182,0.403547672
Kuortane,54,2528,46.81481481,21,0.388888889
Kurikka,174,8639,49.64942529,64,0.367816092
Kustavi,35,1772,50.62857143,17,0.485714286
Kuusamo,164,8462,51.59756098,59,0.359756098
Kyyjärvi,24,1166,48.58333333,4,0.166666667
Kärkölä,86,4217,49.03488372,28,0.325581395
Kärsämäki,36,1944,54,13,0.361111111
Lahti,404,19931,49.33415842,164,0.405940594
Laihia,86,4490,52.20930233,34,0.395348837
Laitila,83,3855,46.44578313,33,0.397590361
Lapinjärvi,48,2222,46.29166667,21,0.4375
Lapinlahti,136,6891,50.66911765,52,0.382352941
Lappajärvi,50,2600,52,19,0.38
Lappeenranta,346,16902,48.84971098,129,0.37283237
Lapua,128,6400,50,46,0.359375
Laukaa,144,7279,50.54861111,46,0.319444444
Lemi,42,2034,48.42857143,15,0.357142857
Lempäälä,184,8927,48.51630435,73,0.39673913
Leppävirta,91,4735,52.03296703,34,0.373626374
Lestijärvi,25,1138,45.52,10,0.4
Lieksa,95,4946,52.06315789,37,0.389473684
Lieto,140,6669,47.63571429,54,0.385714286
Liminka,68,3103,45.63235294,28,0.411764706
Liperi,122,6095,49.95901639,47,0.385245902
Lohja,381,19519,51.23097113,170,0.446194226
Loimaa,143,7431,51.96503497,52,0.363636364
Loppi,111,5382,48.48648649,44,0.396396396
Loviisa,136,7291,53.61029412,59,0.433823529
Luhanka,22,1241,56.40909091,8,0.363636364
Lumijoki,28,1377,49.17857143,7,0.25
Luoto,84,3523,41.94047619,34,0.404761905
Luumäki,64,3153,49.265625,27,0.421875
Maalahti,69,3173,45.98550725,31,0.449275362
Marttila,40,1778,44.45,12,0.3
Masku,87,4383,50.37931034,35,0.402298851
Merijärvi,24,1098,45.75,12,0.5
Merikarvia,41,2114,51.56097561,17,0.414634146
Miehikkälä,36,1703,47.30555556,16,0.444444444
Mikkeli,257,12767,49.6770428,106,0.412451362
Muhos,88,4262,48.43181818,32,0.363636364
Multia,28,1421,50.75,13,0.464285714
Muonio,36,1726,47.94444444,14,0.388888889
Mustasaari,105,5201,49.53333333,46,0.438095238
